in s,Math in V
-4.736500E-04,-1.85602E-02
-4.736000E-04,9.76340E-03
-4.735500E-04,2.68521E-02
-4.735000E-04,2.68521E-02
-4.734500E-04,-1.12430E-02
-4.734000E-04,-7.32526E-03
-4.733500E-04,3.56327E-02
-4.733000E-04,2.53886E-02
-4.732500E-04,9.67540E-04
-4.732000E-04,-1.36821E-02
-4.731500E-04,1.95196E-02
-4.731000E-04,4.63798E-02
-4.730500E-04,4.79728E-04
-4.730000E-04,-1.85602E-02
-4.729500E-04,5.84566E-03
-4.729000E-04,4.63798E-02
-4.728500E-04,3.80717E-02
-4.728000E-04,-2.44292E-02
-4.727500E-04,-1.41699E-02
-4.727000E-04,2.92911E-02
-4.726500E-04,4.73554E-02
-4.726000E-04,8.29996E-03
-4.725500E-04,-4.15178E-02
-4.725000E-04,4.87003E-03
-4.724500E-04,5.46726E-02
-4.724000E-04,2.78277E-02
-4.723500E-04,-2.19749E-02
-4.723000E-04,-3.27220E-02
-4.722500E-04,3.36814E-02
-4.722000E-04,5.46726E-02
-4.721500E-04,1.94316E-03
-4.721000E-04,-2.49170E-02
-4.720500E-04,-8.08411E-06
-4.720000E-04,4.73554E-02
-4.719500E-04,3.27058E-02
-4.719000E-04,-1.95358E-02
-4.718500E-04,-1.41699E-02
-4.718000E-04,2.49008E-02
-4.717500E-04,4.05260E-02
-4.717000E-04,6.82128E-03
-4.716500E-04,-1.66089E-02
-4.716000E-04,1.26903E-02
-4.715500E-04,3.41692E-02
-4.715000E-04,1.95196E-02
-4.714500E-04,-1.31942E-02
-4.714000E-04,9.67540E-04
-4.713500E-04,3.51449E-02
-4.713000E-04,2.44130E-02
-4.712500E-04,-1.02674E-02
-4.712000E-04,-7.81307E-03
-4.711500E-04,2.92911E-02
-4.711000E-04,4.49163E-02
-4.710500E-04,-2.93496E-03
-4.710000E-04,-2.54048E-02
-4.709500E-04,1.26903E-02
-4.709000E-04,4.97945E-02
-4.708500E-04,2.14709E-02
-4.708000E-04,-2.49170E-02
-4.707500E-04,-1.31942E-02
-4.707000E-04,4.05260E-02
-4.706500E-04,5.56634E-02
-4.706000E-04,-6.83745E-03
-4.705500E-04,-3.51610E-02
-4.705000E-04,9.27559E-03
-4.704500E-04,5.61513E-02
-4.704000E-04,3.02667E-02
-4.703500E-04,-2.78438E-02
-4.703000E-04,-2.34383E-02
-4.702500E-04,4.19895E-02
-4.702000E-04,4.88188E-02
-4.701500E-04,4.79728E-04
-4.701000E-04,-3.32098E-02
-4.700500E-04,5.35785E-03
-4.700000E-04,4.73554E-02
-4.699500E-04,2.04953E-02
-4.699000E-04,-1.70967E-02
-4.698500E-04,-1.22186E-02
-4.698000E-04,2.73399E-02
-4.697500E-04,3.90474E-02
-4.697000E-04,-9.77957E-03
-4.696500E-04,-1.17308E-02
-4.696000E-04,1.75684E-02
-4.695500E-04,2.97789E-02
-4.695000E-04,1.22025E-02
-4.694500E-04,-1.90480E-02
-4.694000E-04,1.36659E-02
-4.693500E-04,3.80717E-02
-4.693000E-04,1.75684E-02
-4.692500E-04,-1.22186E-02
-4.692000E-04,-1.22186E-02
-4.691500E-04,3.95504E-02
-4.691000E-04,4.00382E-02
-4.690500E-04,-1.51455E-02
-4.690000E-04,-2.63804E-02
-4.689500E-04,1.46415E-02
-4.689000E-04,5.27213E-02
-4.688500E-04,2.04953E-02
-4.688000E-04,-4.00391E-02
-4.687500E-04,-2.44714E-03
-4.687000E-04,4.19895E-02
-4.686500E-04,4.39407E-02
-4.686000E-04,-4.39839E-03
-4.685500E-04,-4.05422E-02
-4.685000E-04,2.49008E-02
-4.684500E-04,5.17457E-02
-4.684000E-04,1.70806E-02
-4.683500E-04,-2.44292E-02
-4.683000E-04,-1.66089E-02
-4.682500E-04,4.93066E-02
-4.682000E-04,4.68676E-02
-4.681500E-04,-8.80394E-03
-4.681000E-04,-1.80724E-02
-4.680500E-04,1.56171E-02
-4.680000E-04,4.93066E-02
-4.679500E-04,1.61050E-02
-4.679000E-04,-2.24627E-02
-4.678500E-04,1.94316E-03
-4.678000E-04,3.02667E-02
-4.677500E-04,3.12424E-02
-4.677000E-04,-6.34964E-03
-4.676500E-04,-1.27064E-02
-4.676000E-04,3.22180E-02
-4.675500E-04,2.34374E-02
-4.675000E-04,4.79728E-04
-4.674500E-04,-1.36821E-02
-4.674000E-04,1.17146E-02
-4.673500E-04,4.49163E-02
-4.673000E-04,5.84566E-03
-4.672500E-04,-2.14871E-02
-4.672000E-04,7.30909E-03
-4.671500E-04,3.75839E-02
-4.671000E-04,3.80717E-02
-4.670500E-04,-2.19749E-02
-4.670000E-04,-2.19749E-02
-4.669500E-04,2.92911E-02
-4.669000E-04,4.68676E-02
-4.668500E-04,1.12268E-02
-4.668000E-04,-3.02829E-02
-4.667500E-04,-8.08411E-06
-4.667000E-04,5.66391E-02
-4.666500E-04,3.22180E-02
-4.666000E-04,-1.61211E-02
-4.665500E-04,-2.73560E-02
-4.665000E-04,2.88033E-02
-4.664500E-04,5.27213E-02
-4.664000E-04,1.07390E-02
-4.663500E-04,-2.78438E-02
-4.663000E-04,-7.81307E-03
-4.662500E-04,4.34529E-02
-4.662000E-04,3.36814E-02
-4.661500E-04,-1.07552E-02
-4.661000E-04,-2.29505E-02
-4.660500E-04,1.46415E-02
-4.660000E-04,3.85595E-02
-4.659500E-04,7.81215E-03
-4.659000E-04,-1.75846E-02
-4.658500E-04,1.56171E-02
-4.658000E-04,3.61205E-02
-4.657500E-04,1.51293E-02
-4.657000E-04,-1.46577E-02
-4.656500E-04,-2.93496E-03
-4.656000E-04,3.07546E-02
-4.655500E-04,2.63642E-02
-4.655000E-04,-4.88620E-03
-4.654500E-04,-1.56333E-02
-4.654000E-04,3.02667E-02
-4.653500E-04,4.00382E-02
-4.653000E-04,-4.88620E-03
-4.652500E-04,-2.68682E-02
-4.652000E-04,6.82128E-03
-4.651500E-04,5.36970E-02
-4.651000E-04,2.53886E-02
-4.650500E-04,-2.83317E-02
